group;var;value;min;max;weight
1;"New_Cycle";1;23;;1
1;"Content_Domain";"Biology";15;16;1
1;"Content_Domain";"Chemistry";9;9;1
1;"Content_Domain";"Earth_Science";8;10;1
1;"Content_Domain";"Physics";10;13;1
1;"Cognitive_Domain";"Applying";15;16;1
1;"Cognitive_Domain";"Knowing";15;16;1
1;"Cognitive_Domain";"Reasoning";12;15;1
1;"Item_Type";"MC";30;40;1
